date,close
2011-02-10,1000.35
2011-02-11,1000.7001225
2011-02-14,1001.0503675428753
2011-02-15,1001.4007351715153
2011-02-16,1001.7512254288255
2011-02-17,1002.1018383577256
2011-02-18,1002.452574001151
2011-02-21,1002.8034324020514
2011-02-22,1003.1544136033921
2011-02-23,1003.5055176481533
2011-02-24,1003.8567445793303
2011-02-25,1004.2080944399332
2011-02-28,1004.5595672729872
2011-03-01,1004.9111631215328
2011-03-02,1005.2628820286253
2011-03-03,1005.6147240373355
2011-03-04,1005.9666891907486
2011-03-07,1006.3187775319656
2011-03-08,1006.6709891041016
2011-03-09,1007.0233239502882
2011-03-10,1007.3757821136709
2011-03-11,1007.7283636374108
2011-03-14,1008.081068564684
2011-03-15,1008.4338969386816
2011-03-16,1008.7868488026104
2011-03-17,1009.1399241996914
2011-03-18,1009.4931231731614
2011-03-21,1009.8464457662722
2011-03-22,1010.1998920222903
2011-03-23,1010.5534619844982
2011-03-24,1010.9071556961928
2011-03-25,1011.2609732006865
2011-03-28,1011.6149145413069
2011-03-29,1011.9689797613964
2011-03-30,1012.3231689043131
2011-03-31,1012.6774820134297
2011-04-01,1013.0319191321344
2011-04-04,1013.3864803038308
2011-04-05,1013.7411655719372
2011-04-06,1014.0959749798875
2011-04-07,1014.4509085711304
2011-04-08,1014.8059663891305
2011-04-11,1015.1611484773669
2011-04-12,1015.5164548793341
2011-04-13,1015.8718856385418
2011-04-14,1016.2274407985154
2011-04-15,1016.5831204027951
2011-04-18,1016.938924494936
2011-04-19,1017.2948531185093
2011-04-20,1017.6509063171009
2011-04-21,1018.0070841343119
2011-04-22,1018.363386613759
2011-04-25,1018.7198137990738
2011-04-26,1019.0763657339035
2011-04-27,1019.4330424619104
2011-04-28,1019.7898440267724
2011-04-29,1020.1467704721819
2011-05-02,1020.5038218418472
2011-05-03,1020.8609981794918
2011-05-04,1021.2182995288548
2011-05-05,1021.5757259336899
2011-05-06,1021.9332774377667
2011-05-09,1022.2909540848701
2011-05-10,1022.6487559188
2011-05-11,1023.0066829833718
2011-05-12,1023.364735322416
2011-05-13,1023.7229129797789
2011-05-16,1024.081215999322
2011-05-17,1024.4396444249217
2011-05-18,1024.7981983004706
2011-05-19,1025.156877669876
2011-05-20,1025.5156825770605
2011-05-23,1025.8746130659624
2011-05-24,1026.2336691805356
2011-05-25,1026.5928509647488
2011-05-26,1026.9521584625866
2011-05-27,1027.3115917180485
2011-05-30,1027.67115077515
2011-05-31,1028.0308356779212
2011-06-01,1028.3906464704087
2011-06-02,1028.7505831966735
2011-06-03,1029.1106459007924
2011-06-06,1029.4708346268578
2011-06-07,1029.831149418977
2011-06-08,1030.191590321274
2011-06-09,1030.5521573778865
2011-06-10,1030.9128506329687
2011-06-13,1031.2736701306903
2011-06-14,1031.634615915236
2011-06-15,1031.9956880308066
2011-06-16,1032.3568865216175
2011-06-17,1032.7182114319003
2011-06-20,1033.0796628059015
2011-06-21,1033.4412406878837
2011-06-22,1033.8029451221244
2011-06-23,1034.1647761529173
2011-06-24,1034.526733824571
2011-06-27,1034.8888181814095
2011-06-28,1035.251029267773
2011-06-29,1035.6133671280168
2011-06-30,1035.9758318065117
2011-07-01,1036.338423347644
2011-07-04,1036.7011417958158
2011-07-05,1037.0639871954445
2011-07-06,1037.4269595909632
2011-07-07,1037.79005902682
2011-07-08,1038.1532855474795
2011-07-11,1038.5166391974212
2011-07-12,1038.8801200211403
2011-07-13,1039.243728063148
2011-07-14,1039.6074633679702
2011-07-15,1039.971325980149
2011-07-18,1040.3353159442422
2011-07-19,1040.6994333048228
2011-07-20,1041.0636781064795
2011-07-21,1041.4280503938169
2011-07-22,1041.792550211455
2011-07-25,1042.1571776040291
2011-07-26,1042.5219326161905
2011-07-27,1042.8868152926063
2011-07-28,1043.2518256779588
2011-07-29,1043.616963816946
2011-08-01,1043.9822297542823
2011-08-02,1044.3476235346961
2011-08-03,1044.7131452029334
2011-08-04,1045.0787948037546
2011-08-05,1045.4445723819358
2011-08-08,1045.8104779822697
2011-08-09,1046.1765116495635
2011-08-10,1046.542673428641
2011-08-11,1046.9089633643412
2011-08-12,1047.2753815015187
2011-08-15,1047.6419278850444
2011-08-16,1048.0086025598043
2011-08-17,1048.3754055707004
2011-08-18,1048.7423369626504
2011-08-19,1049.1093967805873
2011-08-22,1049.4765850694607
2011-08-23,1049.8439018742351
2011-08-24,1050.2113472398912
2011-08-25,1050.5789212114253
2011-08-26,1050.9466238338493
2011-08-29,1051.3144551521914
2011-08-30,1051.6824152114948
2011-08-31,1052.050504056819
2011-09-01,1052.4187217332387
2011-09-02,1052.7870682858456
2011-09-05,1053.1555437597458
2011-09-06,1053.5241482000617
2011-09-07,1053.8928816519317
2011-09-08,1054.26174416051
2011-09-09,1054.6307357709663
2011-09-12,1054.9998565284861
2011-09-13,1055.3691064782713
